frequency,n_keywords,cum_share_keywords_pct
1,317,56.30550621669627
2,88,71.9360568383659
3,45,79.92895204262878
4,25,84.36944937833037
5,14,86.85612788632326
6,10,88.63232682060391
7,8,90.05328596802842
8,7,91.29662522202487
9,7,92.53996447602131
10,4,93.25044404973357
11,7,94.49378330373001
12,2,94.84902309058614
13,1,95.02664298401422
14,1,95.20426287744228
15,1,95.38188277087033
17,3,95.91474245115452
19,1,96.0923623445826
20,3,96.62522202486679
21,1,96.80284191829485
24,1,96.98046181172292
25,1,97.15808170515098
26,2,97.51332149200711
28,1,97.69094138543517
29,2,98.0461811722913
32,3,98.57904085257549
34,3,99.11190053285968
41,1,99.28952042628775
47,1,99.46714031971581
75,1,99.64476021314387
97,1,99.82238010657194
170,1,100.0
